,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
35,talnakh,RU,69.49,88.4,62.6,77.0,22.0,6.71
36,puerto ayacucho,VE,5.66,-67.62,75.27,89.0,2.0,3.62
37,prince rupert,CA,54.32,-130.32,59.0,93.0,90.0,6.93
38,cabedelo,BR,-6.98,-34.83,71.6,88.0,0.0,8.05
39,port lincoln,AU,-34.73,135.87,57.11,60.0,84.0,9.57
40,mogadishu,SO,2.04,45.34,76.69,81.0,86.0,19.55
41,dikson,RU,73.51,80.55,54.14,76.0,94.0,12.53
42,cape town,ZA,-33.93,18.42,55.96,100.0,75.0,4.7
43,husavik,IS,66.04,-17.34,50.0,93.0,90.0,4.7
44,east london,ZA,-33.02,27.91,73.81,20.0,0.0,13.04
45,mataura,NZ,-46.19,168.86,57.18,74.0,99.0,1.54
46,ponta do sol,PT,32.67,-17.1,67.6,73.0,20.0,12.75
47,port elizabeth,ZA,-33.92,25.57,51.8,66.0,0.0,5.82
48,ilulissat,GL,69.22,-51.1,42.8,81.0,0.0,2.24
49,jammalamadugu,IN,14.83,78.4,81.54,65.0,100.0,17.87
50,victoria,HK,22.29,114.16,81.36,83.0,100.0,10.0
51,buta,CD,2.79,24.73,68.97,97.0,90.0,1.61
52,klaksvik,FO,62.23,-6.59,50.0,93.0,100.0,11.41
53,baykit,RU,61.67,96.37,73.69,46.0,29.0,4.81
54,vardo,NO,70.37,31.11,50.0,87.0,75.0,10.29
55,kavieng,PG,-2.57,150.8,84.74,73.0,70.0,7.67
56,todos santos,MX,23.45,-110.22,79.52,76.0,31.0,4.85
57,georgetown,MY,5.41,100.34,86.68,62.0,20.0,11.41
58,wukari,NG,7.85,9.78,72.25,93.0,100.0,7.4
59,sao filipe,CV,14.9,-24.5,78.57,85.0,20.0,9.44
60,henties bay,NA,-22.12,14.28,64.0,34.0,0.0,1.99
61,pangnirtung,CA,66.15,-65.71,50.02,71.0,69.0,1.74
62,altamont,US,42.21,-121.74,78.69,20.0,1.0,16.11
63,saint anthony,US,45.02,-93.22,65.1,59.0,90.0,4.7
64,waingapu,ID,-9.66,120.26,82.67,50.0,9.0,10.07
65,hirado,JP,33.36,129.55,85.01,70.0,75.0,5.82
66,nikolskoye,RU,59.7,30.79,57.29,87.0,90.0,6.13
67,yerbogachen,RU,61.28,108.01,74.43,42.0,0.0,8.77
68,fukuma,JP,33.77,130.47,91.18,55.0,86.0,11.41
69,mar del plata,AR,-38.0,-57.56,47.26,93.0,96.0,4.7
70,isangel,VU,-19.55,169.27,75.2,60.0,40.0,9.17
71,pisco,PE,-13.7,-76.22,60.46,77.0,0.0,3.36
72,new norfolk,AU,-42.78,147.06,47.52,64.0,3.0,4.0
73,shingu,JP,33.73,135.98,84.2,83.0,40.0,8.05
74,rawson,AR,-43.3,-65.1,50.4,53.0,73.0,22.97
75,qaanaaq,GL,77.48,-69.36,37.33,88.0,100.0,2.84
76,kurchum,KZ,48.57,83.65,75.02,39.0,88.0,2.01
77,faanui,PF,-16.48,-151.75,78.71,75.0,71.0,8.16
78,dingle,PH,11.0,122.67,87.01,69.0,99.0,6.73
79,makakilo city,US,21.35,-158.09,84.02,48.0,75.0,16.46
80,jamestown,US,42.1,-79.24,65.57,93.0,90.0,12.75
81,tautira,PF,-17.73,-149.15,80.29,69.0,75.0,5.82
82,hailar,CN,49.2,119.7,73.22,64.0,100.0,6.31
83,nome,US,64.5,-165.41,63.1,72.0,1.0,10.29
84,upernavik,GL,72.79,-56.15,43.23,74.0,57.0,4.12
85,tuktoyaktuk,CA,69.45,-133.04,48.2,100.0,90.0,6.93
86,anklam,DE,53.86,13.69,60.01,90.0,99.0,1.99
87,taft,IR,31.75,54.21,82.4,24.0,40.0,2.24
88,bethel,US,41.37,-73.41,76.55,83.0,40.0,8.05
89,chuy,UY,-33.7,-53.46,61.07,91.0,83.0,1.92
90,arica,CL,-18.48,-70.3,58.03,82.0,100.0,2.15
91,alghero,IT,40.56,8.32,70.36,88.0,3.0,1.12
92,simplicio mendes,BR,-7.85,-41.91,74.39,59.0,34.0,8.3
93,lazaro cardenas,MX,17.96,-102.2,82.24,84.0,98.0,5.86
94,wajima,JP,37.4,136.9,78.8,88.0,75.0,6.93
95,puerto carreno,CO,6.19,-67.49,77.31,88.0,15.0,4.74
96,cabo san lucas,MX,22.89,-109.91,85.51,52.0,5.0,6.93
97,valle hermoso,MX,25.67,-97.83,82.09,78.0,1.0,4.7
98,saskylakh,RU,71.92,114.08,73.9,49.0,12.0,4.61
99,hay river,CA,60.82,-115.8,77.0,73.0,75.0,4.7
100,vanimo,PG,-2.67,141.3,78.64,89.0,85.0,9.01
101,marfino,RU,55.7,37.38,53.01,87.0,76.0,4.47
102,khasan,RU,42.43,130.64,72.52,89.0,92.0,3.09
103,japura,ID,-0.32,102.35,87.04,57.0,51.0,4.21
104,praia,CV,14.92,-23.51,80.6,74.0,20.0,4.7
105,kuusamo,FI,65.97,29.18,51.8,87.0,20.0,2.24
106,gravdal,NO,68.12,13.5,59.63,76.0,0.0,9.89
107,markova,UA,48.68,24.41,50.0,100.0,100.0,3.24
108,carnarvon,AU,-24.87,113.63,66.2,63.0,21.0,8.05
109,beringovskiy,RU,63.05,179.32,48.56,71.0,97.0,14.07
110,lakes entrance,AU,-37.88,147.98,61.0,66.0,99.0,3.0
111,madimba,TZ,-10.4,40.33,69.8,94.0,20.0,11.41
112,hithadhoo,MV,-0.6,73.08,83.68,73.0,100.0,10.67
113,durusu,TR,41.31,28.68,74.61,69.0,75.0,12.75
114,hazorasp,UZ,41.32,61.07,73.4,53.0,0.0,2.24
115,atuona,PF,-9.8,-139.03,78.76,76.0,12.0,16.26
116,bathsheba,BB,13.22,-59.52,82.4,78.0,75.0,12.75
117,coahuayana,MX,18.73,-103.68,80.31,85.0,93.0,1.16
118,arraial do cabo,BR,-22.97,-42.03,68.58,62.0,1.0,5.99
119,erzin,TR,36.96,36.2,80.01,86.0,33.0,1.01
120,aripuana,BR,-9.17,-60.63,72.03,46.0,55.0,1.9
121,graaff-reinet,ZA,-32.25,24.53,62.01,24.0,0.0,12.88
122,maceio,BR,-9.67,-35.74,69.8,100.0,75.0,4.7
123,sorong,ID,-0.88,131.25,78.44,89.0,100.0,12.5
124,kuandian,CN,40.73,124.78,76.42,83.0,99.0,8.08
125,bredasdorp,ZA,-34.53,20.04,48.2,100.0,0.0,3.36
126,muroto,JP,33.28,134.15,84.2,83.0,75.0,9.17
127,pangody,RU,65.85,74.49,70.45,63.0,69.0,11.97
128,shiyan,CN,32.65,110.78,92.25,61.0,75.0,2.48
129,laguna,US,38.42,-121.42,87.78,29.0,1.0,8.05
130,torbay,CA,47.67,-52.73,56.3,100.0,20.0,5.82
131,khatanga,RU,71.97,102.5,66.58,63.0,100.0,6.26
132,sandakan,MY,5.84,118.12,86.0,74.0,40.0,2.24
133,winnemucca,US,40.97,-117.74,93.2,6.0,20.0,16.11
134,kloulklubed,PW,7.04,134.26,80.6,88.0,90.0,10.76
135,atherton,GB,53.52,-2.49,55.38,90.0,73.0,4.47
136,panjakent,TJ,39.5,67.61,71.6,53.0,0.0,6.93
137,puerto madryn,AR,-42.77,-65.04,50.63,59.0,57.0,19.13
138,asau,RO,46.43,26.4,52.0,91.0,50.0,2.57
139,russell,US,32.35,-85.2,79.3,83.0,1.0,1.14
140,natal,BR,-5.79,-35.21,71.6,88.0,10.0,5.82
141,kontagora,NG,10.4,5.47,71.1,97.0,100.0,6.58
142,sao joao da barra,BR,-21.64,-41.05,65.93,70.0,0.0,6.11
143,fairbanks,US,64.84,-147.72,64.83,56.0,1.0,12.75
144,kodiak,US,57.79,-152.41,64.4,63.0,75.0,11.41
145,sitka,US,57.05,-135.33,57.2,87.0,90.0,4.7
146,chateauroux,FR,46.82,1.7,57.2,71.0,100.0,1.12
147,dunedin,NZ,-45.87,170.5,52.18,79.0,66.0,4.14
148,kavaratti,IN,10.57,72.64,82.44,79.0,94.0,23.98
149,hurghada,EG,27.26,33.81,86.0,15.0,0.0,4.7
150,lata,PT,40.16,-8.33,60.73,90.0,100.0,5.99
151,salalah,OM,17.02,54.09,80.6,88.0,40.0,4.7
152,tuy hoa,VN,13.08,109.3,89.98,57.0,45.0,6.64
153,akyab,MM,20.15,92.9,86.56,73.0,90.0,0.58
154,butaritari,KI,3.07,172.79,82.99,72.0,71.0,17.2
155,broome,US,42.25,-75.83,76.44,50.0,1.0,11.41
156,faya,SA,18.39,42.45,66.2,77.0,40.0,3.69
157,southbridge,US,42.08,-72.03,74.7,98.0,99.0,9.06
158,sao geraldo do araguaia,BR,-6.4,-48.55,77.97,50.0,33.0,1.07
159,pevek,RU,69.7,170.31,38.14,92.0,100.0,1.23
160,berlevag,NO,70.86,29.09,48.27,91.0,100.0,10.49
161,muli,MV,2.92,73.57,82.87,78.0,100.0,11.92
162,liverpool,GB,53.41,-2.98,55.89,87.0,63.0,9.17
163,tripoli,LY,32.88,13.19,80.89,43.0,0.0,1.86
164,hamilton,US,39.18,-84.53,71.38,83.0,20.0,3.62
165,harper,LR,4.38,-7.72,71.92,80.0,94.0,3.6
166,sivas,TR,39.79,37.0,46.4,100.0,34.0,4.7
167,mahebourg,MU,-20.41,57.7,69.8,64.0,75.0,17.22
168,acajutla,SV,13.59,-89.83,75.99,91.0,100.0,4.74
169,leningradskiy,RU,69.38,178.42,41.27,83.0,100.0,9.22
170,zhezkazgan,KZ,47.8,67.71,75.2,50.0,0.0,15.66
171,thompson,CA,55.74,-97.86,73.4,46.0,20.0,2.24
172,lavrentiya,RU,65.58,-171.0,48.29,66.0,94.0,12.37
173,saint-leu,RE,-21.15,55.28,65.57,64.0,90.0,10.29
174,sola,VU,-13.88,167.55,75.51,86.0,86.0,19.62
175,teguldet,RU,57.31,88.17,73.15,50.0,20.0,4.38
176,nieuw amsterdam,SR,5.88,-55.08,75.0,96.0,100.0,6.29
177,chokurdakh,RU,70.63,147.92,51.48,58.0,100.0,4.9
178,sinnamary,GF,5.38,-52.95,77.9,85.0,95.0,8.48
179,vila franca do campo,PT,37.72,-25.43,71.6,73.0,20.0,6.93
180,kuruman,ZA,-27.45,23.43,43.88,56.0,0.0,5.35
181,kuah,MY,6.33,99.84,86.0,84.0,20.0,8.05
182,tonstad,NO,58.66,6.72,52.66,96.0,81.0,1.01
183,south sioux city,US,42.47,-96.41,66.97,56.0,1.0,6.93
184,saint-philippe,RE,-21.36,55.77,65.84,64.0,90.0,10.29
185,brigantine,US,39.41,-74.36,79.72,74.0,75.0,5.82
186,qaqortoq,GL,60.72,-46.03,48.2,76.0,78.0,3.36
187,saint-pierre,RE,-21.34,55.48,67.01,64.0,90.0,10.29
188,villamontes,BO,-21.25,-63.5,72.7,46.0,0.0,4.52
189,batagay,RU,67.63,134.63,67.64,38.0,98.0,6.02
190,codrington,AU,-38.27,141.97,52.18,68.0,98.0,15.61
191,uruzgan,AF,32.83,66.0,76.23,16.0,0.0,4.61
192,teeswater,CA,44.0,-81.29,63.05,95.0,74.0,7.63
193,vestmannaeyjar,IS,63.44,-20.27,49.89,89.0,24.0,17.85
194,hasaki,JP,35.73,140.83,86.7,66.0,75.0,3.36
195,clovis,US,36.83,-119.7,95.02,13.0,20.0,12.75
196,garowe,SO,8.41,48.48,75.56,59.0,27.0,23.58
197,suwannaphum,TH,15.6,103.8,80.6,83.0,75.0,12.75
198,cuyo,PH,10.85,121.01,84.15,72.0,100.0,4.25
199,mercedes,AR,-34.65,-59.43,58.01,58.0,98.0,4.0
200,silao,MX,20.93,-101.43,68.0,77.0,90.0,11.95
201,kuytun,RU,54.34,101.5,63.46,78.0,100.0,9.17
202,biltine,TD,14.53,20.92,72.45,92.0,100.0,17.74
203,ahipara,NZ,-35.17,173.17,62.55,69.0,12.0,7.96
204,presidencia roque saenz pena,AR,-26.79,-60.44,72.48,53.0,2.0,9.01
205,praxedis guerrero,MX,31.37,-106.02,93.87,17.0,90.0,5.82
206,sheboygan,US,43.73,-87.93,62.62,88.0,90.0,12.75
207,tigil,RU,57.8,158.67,67.08,46.0,91.0,11.63
208,port augusta,AU,-32.5,137.77,64.45,82.0,75.0,10.29
209,lebu,CL,-37.62,-73.65,50.81,94.0,100.0,7.78
210,aragarcas,BR,-15.9,-52.25,68.54,43.0,0.0,4.76
211,narsaq,GL,60.92,-46.05,48.2,76.0,77.0,3.36
212,krasnovishersk,RU,60.41,57.08,56.34,75.0,93.0,7.31
213,eyl,SO,7.98,49.82,80.04,60.0,18.0,26.66
214,tura,IN,25.52,90.22,88.83,65.0,3.0,1.45
215,caravelas,BR,-17.71,-39.25,69.73,74.0,0.0,8.93
216,cidreira,BR,-30.18,-50.21,61.79,79.0,16.0,5.1
217,jiangyou,CN,31.77,104.72,84.6,71.0,4.0,4.38
218,ambilobe,MG,-13.2,49.05,68.04,73.0,20.0,3.24
219,abbeville,FR,50.1,1.83,53.98,78.0,100.0,6.87
220,vao,NC,-22.67,167.48,67.53,66.0,2.0,13.4
221,illapel,CL,-31.63,-71.17,55.67,52.0,0.0,1.28
222,waipawa,NZ,-41.41,175.52,56.03,71.0,91.0,13.87
223,northam,GB,51.03,-4.22,56.3,93.0,56.0,1.99
224,tsabong,BW,-26.02,22.4,51.31,44.0,0.0,10.09
225,vikhorevka,RU,56.12,101.16,68.0,64.0,75.0,2.24
226,ribeira grande,PT,38.52,-28.7,71.6,83.0,0.0,7.85
227,guerrero negro,MX,27.98,-114.06,73.29,72.0,49.0,16.08
228,bengkulu,ID,-3.8,102.27,82.92,72.0,43.0,0.83
229,batemans bay,AU,-35.72,150.18,57.92,56.0,100.0,4.0
230,nelson bay,AU,-32.72,152.15,65.62,55.0,99.0,9.17
231,la ronge,CA,55.1,-105.28,75.2,50.0,20.0,4.7
232,bambous virieux,MU,-20.34,57.76,68.95,64.0,75.0,17.22
233,xingyi,CN,24.19,102.82,64.83,95.0,99.0,3.8
234,nuevo ideal,MX,24.89,-105.07,64.44,49.0,31.0,8.25
235,lahij,YE,13.17,44.58,84.79,62.0,9.0,2.77
236,cherskiy,RU,68.75,161.3,50.88,86.0,100.0,5.35
237,garden city,US,42.33,-83.33,66.87,77.0,20.0,6.93
238,taybad,IR,34.74,60.78,80.37,17.0,0.0,13.65
239,jacqueville,CI,5.21,-4.41,75.2,88.0,20.0,5.82
240,yining,CN,29.04,114.56,96.33,51.0,96.0,1.34
241,jumla,NP,29.27,82.18,72.19,57.0,18.0,2.48
242,ugoofaaru,MV,5.67,73.0,82.74,78.0,99.0,15.5
243,kapuskasing,CA,49.42,-82.43,55.4,71.0,75.0,6.93
244,ossora,RU,59.24,163.07,61.2,60.0,6.0,6.89
245,katsuura,JP,35.13,140.3,85.12,78.0,20.0,4.7
246,bilibino,RU,68.05,166.44,54.41,52.0,97.0,4.83
247,yilan,TW,24.76,121.75,79.14,100.0,75.0,11.41
248,paracatu,BR,-17.22,-46.87,59.41,59.0,0.0,3.91
249,tessalit,ML,20.2,1.01,86.47,46.0,80.0,20.62
250,kahului,US,20.89,-156.47,78.64,54.0,40.0,23.04
251,gamba,GA,-2.65,10.0,70.5,80.0,44.0,5.44
252,brae,GB,60.4,-1.35,53.6,87.0,100.0,12.75
253,yarada,IN,17.65,83.27,82.4,83.0,75.0,2.24
254,ust-nera,RU,64.57,143.2,71.19,28.0,16.0,2.59
255,walvis bay,NA,-22.96,14.51,64.0,34.0,0.0,1.99
256,praya,CV,14.92,-23.51,80.6,74.0,20.0,4.7
257,setermoen,NO,68.86,18.35,47.32,100.0,0.0,8.05
258,palmer,US,42.16,-72.33,77.09,83.0,90.0,3.36
259,hami,CN,42.8,93.45,93.34,10.0,100.0,7.36
260,tiksi,RU,71.69,128.87,48.54,73.0,41.0,9.01
261,port blair,IN,11.67,92.75,82.72,80.0,100.0,27.04
262,belmonte,BR,-15.86,-38.88,64.4,82.0,20.0,8.05
263,inta,RU,66.03,60.17,62.15,85.0,38.0,8.79
264,guiratinga,BR,-16.35,-53.76,66.56,42.0,0.0,5.57
265,te anau,NZ,-45.42,167.72,52.83,76.0,100.0,0.98
266,maraba,BR,-5.37,-49.12,73.4,78.0,77.0,1.77
267,achacachi,BO,-16.05,-68.68,44.19,60.0,0.0,5.19
268,pasni,PK,25.26,63.47,83.82,84.0,91.0,10.42
269,mamallapuram,IN,12.63,80.17,78.8,88.0,90.0,5.82
270,batagay-alyta,RU,67.8,130.41,61.77,50.0,100.0,3.85
271,cayenne,GF,4.93,-52.33,75.2,100.0,60.0,6.26
272,salinopolis,BR,-0.61,-47.36,78.87,86.0,9.0,11.25
273,villeneuve-les-avignon,FR,43.97,4.8,72.05,60.0,84.0,13.87
274,cabuyaro,CO,4.28,-72.79,75.27,85.0,5.0,3.2
275,baker city,US,44.77,-117.83,82.22,28.0,1.0,24.16
276,harrai,IN,22.62,79.22,82.87,73.0,100.0,8.08
277,umm lajj,SA,25.02,37.27,84.65,67.0,100.0,4.14
278,alyangula,AU,-13.85,136.42,78.26,60.0,40.0,6.78
279,coffs harbour,AU,-30.3,153.13,70.7,49.0,0.0,11.41
280,bastia,FR,42.67,9.33,76.17,88.0,2.0,5.82
281,coihaique,CL,-45.58,-72.07,37.4,93.0,99.0,5.82
282,padang,ID,-0.95,100.35,83.61,60.0,96.0,2.64
283,saint george,US,37.1,-113.58,98.53,8.0,1.0,11.41
284,fare,PF,-16.7,-151.02,79.32,73.0,93.0,7.45
285,superior,US,46.72,-92.1,60.33,63.0,90.0,4.7
286,turtas,RU,58.94,69.13,76.57,62.0,0.0,7.0
287,freetown,SL,8.48,-13.23,74.19,89.0,72.0,7.61
288,constitucion,CL,-35.33,-72.42,52.97,90.0,10.0,4.03
289,san cristobal,VE,7.77,-72.22,66.27,87.0,24.0,4.56
290,skjervoy,NO,70.03,20.97,54.25,73.0,2.0,5.46
291,pemberton,CA,50.32,-122.8,69.8,49.0,90.0,2.24
292,kalemie,CD,-5.95,29.19,69.67,67.0,47.0,7.92
293,bauchi,NG,10.5,10.0,70.52,94.0,99.0,5.14
294,kununurra,AU,-15.77,128.73,82.4,26.0,93.0,6.93
295,hovd,MN,48.01,91.64,59.76,49.0,53.0,2.62
296,mount gambier,AU,-37.83,140.77,53.6,66.0,75.0,17.22
297,richards bay,ZA,-28.78,32.04,62.49,76.0,0.0,15.59
298,mehamn,NO,71.04,27.85,47.98,90.0,100.0,9.48
299,svetlogorsk,BY,52.63,29.73,52.81,92.0,0.0,4.0
300,sholokhovskiy,RU,48.28,41.05,59.59,80.0,1.0,5.59
301,lompoc,US,34.64,-120.46,58.84,87.0,0.0,11.41
302,baruun-urt,MN,46.68,113.28,64.94,73.0,77.0,15.52
303,semey,KZ,50.41,80.23,69.8,52.0,0.0,11.18
304,deputatskiy,RU,69.3,139.9,57.67,55.0,49.0,8.75
305,chernyshevskiy,RU,63.01,112.47,74.1,41.0,60.0,6.69
306,pavlovka,RU,52.69,47.14,58.39,80.0,13.0,2.75
307,longyearbyen,SJ,78.22,15.64,46.4,93.0,90.0,2.15
308,tomatlan,MX,19.93,-105.25,79.93,87.0,100.0,1.77
309,neokhorion,GR,41.18,23.25,69.82,81.0,25.0,1.86
310,gawler,AU,-34.6,138.73,58.08,68.0,80.0,3.0
311,bloomfield,US,40.81,-74.19,85.57,58.0,1.0,3.36
312,namatanai,PG,-3.67,152.43,84.22,74.0,53.0,9.31
313,escanaba,US,45.75,-87.06,57.07,82.0,90.0,9.17
314,pangai,TO,-19.8,-174.35,77.0,83.0,90.0,5.82
315,ostrovnoy,RU,68.05,39.51,49.86,84.0,100.0,14.25
316,bafoulabe,ML,13.81,-10.83,76.84,91.0,88.0,7.05
317,blackwater,AU,-23.58,148.88,67.08,52.0,46.0,9.6
318,kendari,ID,-3.94,122.5,87.31,59.0,63.0,1.16
319,melita,CA,49.27,-101.0,66.0,78.0,0.0,1.99
320,destin,US,30.39,-86.5,83.62,66.0,1.0,3.36
321,bilma,NE,18.69,12.92,89.55,35.0,34.0,7.14
322,port hedland,AU,-20.32,118.57,78.8,65.0,73.0,12.75
323,weil der stadt,DE,48.75,8.87,61.63,87.0,97.0,5.82
324,talara,PE,-4.58,-81.27,62.96,87.0,20.0,16.4
325,yambio,SS,4.57,28.4,66.67,96.0,95.0,2.21
326,tbilisskaya,RU,45.36,40.19,60.91,73.0,0.0,3.06
327,gat,IL,31.61,34.76,68.22,59.0,0.0,1.99
328,caxito,AO,-8.58,13.66,73.4,83.0,76.0,4.7
329,lucea,JM,18.45,-78.17,83.03,79.0,40.0,6.93
330,algarrobo,CO,10.19,-74.58,78.01,85.0,100.0,1.01
331,tecoanapa,MX,16.52,-98.75,82.71,84.0,47.0,7.49
332,port hardy,CA,50.7,-127.42,60.8,100.0,75.0,6.93
333,suleja,NG,9.18,7.18,75.2,88.0,20.0,3.36
334,ust-kuyga,RU,70.02,135.6,53.49,61.0,100.0,10.07
335,deep river,CA,46.1,-77.5,66.11,100.0,90.0,5.01
336,antalaha,MG,-14.9,50.28,70.38,81.0,91.0,14.94
337,guerande,FR,47.33,-2.43,60.91,87.0,100.0,4.7
338,turukhansk,RU,65.82,87.98,65.39,76.0,43.0,2.98
339,jalu,LY,29.03,21.55,75.15,71.0,0.0,8.55
340,komsomolskiy,UZ,40.43,71.72,77.0,36.0,0.0,9.17
341,aginskoye,RU,51.1,114.53,65.57,79.0,100.0,14.45
342,doha,QA,25.29,51.53,94.46,71.0,57.0,2.24
343,weihai,CN,37.5,122.11,84.29,76.0,79.0,12.1
344,mosetse,BW,-20.75,26.65,49.53,69.0,0.0,14.0
345,gweru,ZW,-19.45,29.82,42.01,94.0,0.0,5.37
346,ratnagiri,IN,16.98,73.3,80.46,85.0,100.0,13.04
347,kantabanji,IN,20.48,82.92,82.78,74.0,100.0,9.42
348,khomeyn,IR,33.64,50.08,70.52,26.0,0.0,1.92
349,souillac,MU,-20.52,57.52,69.8,64.0,75.0,17.22
350,samarai,PG,-10.62,150.67,77.68,85.0,91.0,15.17
351,edd,ER,13.93,41.69,84.2,74.0,100.0,7.85
352,pacific grove,US,36.62,-121.92,62.56,64.0,1.0,10.29
353,pertuis,FR,43.69,5.5,73.36,60.0,83.0,11.41
354,seminole,US,28.71,-81.21,78.93,83.0,75.0,10.29
355,el real de santa maria,PA,8.11,-77.73,76.48,93.0,100.0,1.3
356,beloha,MG,-25.17,45.05,59.61,77.0,0.0,12.33
357,ogulin,HR,45.27,15.23,69.58,73.0,40.0,1.05
358,karachi,PK,24.91,67.08,87.8,74.0,40.0,8.05
359,nyurba,RU,63.28,118.33,74.28,42.0,0.0,4.88
360,zhigansk,RU,66.77,123.37,66.22,44.0,87.0,15.17
361,santa vitoria do palmar,BR,-33.52,-53.37,61.54,90.0,86.0,2.82
362,egvekinot,RU,66.32,-179.17,47.26,64.0,80.0,1.48
363,sayhat,SA,26.49,50.04,95.0,71.0,0.0,5.82
364,eureka,US,40.8,-124.16,64.51,77.0,1.0,13.87
365,khorinsk,RU,52.17,109.77,68.18,75.0,91.0,3.29
366,sumenep,ID,-7.02,113.87,84.22,60.0,70.0,12.73
367,columbus,US,39.96,-83.0,68.67,88.0,75.0,5.82
368,the valley,AI,18.22,-63.06,83.05,83.0,40.0,8.05
369,conde,BR,-7.26,-34.91,71.6,88.0,1.0,8.05
370,san quintin,MX,30.48,-115.95,69.53,83.0,12.0,5.41
371,sibu,MY,2.3,111.82,80.24,78.0,20.0,4.7
372,kautokeino,NO,69.01,23.04,47.75,79.0,0.0,1.88
373,rio grande,BR,-32.03,-52.1,63.54,91.0,85.0,4.47
374,ancud,CL,-41.87,-73.82,46.9,87.0,20.0,14.99
375,koygorodok,RU,60.45,51.0,49.12,96.0,89.0,5.37
376,belaya gora,RU,68.53,146.42,63.68,44.0,99.0,10.49
377,kumluca,TR,36.37,30.29,81.84,55.0,0.0,1.05
378,jemnice,CZ,49.02,15.57,62.38,97.0,100.0,2.39
379,vila velha,BR,-20.33,-40.29,66.2,77.0,40.0,5.82
380,dong hoi,VN,17.48,106.6,81.21,80.0,98.0,9.89
381,ordynskoye,RU,54.37,81.9,68.13,72.0,0.0,14.2
382,kemi,FI,65.86,24.82,42.8,100.0,0.0,4.7
383,florianopolis,BR,-27.61,-48.5,64.4,93.0,67.0,11.41
384,djenne,ML,13.91,-4.55,81.97,68.0,95.0,14.38
385,coquimbo,CL,-29.95,-71.34,51.8,93.0,0.0,3.36
386,uray,RU,60.12,64.78,68.97,77.0,91.0,6.55
387,dali,CN,25.7,100.18,74.95,61.0,9.0,2.91
388,moose factory,CA,51.26,-80.61,48.2,93.0,1.0,4.7
389,flinders,AU,-34.58,150.86,68.0,42.0,100.0,11.99
390,grindavik,IS,63.84,-22.43,46.4,93.0,90.0,10.29
391,le port,RE,-20.94,55.29,65.5,67.0,75.0,4.7
392,bubaque,GW,11.28,-15.83,76.12,95.0,100.0,7.36
393,ambon,ID,-3.7,128.18,82.4,78.0,75.0,2.24
394,ponneri,IN,13.32,80.2,78.8,88.0,90.0,5.82
395,tadine,NC,-21.55,167.88,69.15,70.0,68.0,13.24
396,sabha,LY,27.04,14.43,79.88,22.0,0.0,9.42
397,bondo,CD,3.81,23.69,69.1,98.0,99.0,2.15
398,bonavista,CA,48.65,-53.11,55.0,73.0,0.0,1.01
